	bin_name	genome_name	gene_callers_id	num_genomes_gene_cluster_has_hits	num_genes_in_gene_cluster	max_num_paralogs	SCG	functional_homogeneity_index	geometric_homogeneity_index	combined_homogeneity_index	COG20_FUNCTION_ACC	COG20_FUNCTION	Pfam_ACC	Pfam	KEGG_Module_ACC	KEGG_Module	KEGG_BRITE_ACC	KEGG_BRITE	COG20_PATHWAY_ACC	COG20_PATHWAY	COG20_CATEGORY_ACC	COG20_CAT_ACC	COG20_CATEGORY	KOfam_ACC	KOfam	KEGG_Class_ACC	KEGG_Class
GC_00000294	EVERYTHING	ASM1913465v1	459	82	82	1	1	0.999030384	1	0.999514957	COG0088	Ribosomal protein L4 (RplD) (PDB:1VS6)	PF00573.27	Ribosomal protein L4/L1 family	ND	ND	ko00001|ko03011|ko03011	KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09122 Translation>>>03010 Ribosome [PATH:ko03010]|Ribosome>>>Ribosomal proteins>>>Mitochondria/ Chloroplast>>>Large subunit|Ribosome>>>Ribosomal proteins>>>Bacteria>>>Large subunit	COG0088	Ribosome 50S subunit	J	J	"Translation, ribosomal structure and biogenesis"	K02926	large subunit ribosomal protein L4	ND	ND
GC_00000295	EVERYTHING	ASM1913465v1	1047	82	82	1	1	0.998621719	1	0.999310384	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000296	EVERYTHING	ASM1913465v1	67	82	82	1	1	0.998018157	1	0.999008096	COG1963	Acid phosphatase family membrane protein YuiD (YuiD)	PF02681.19	Divergent PAP2 family	ND	ND	ko00001	KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09194 Poorly characterized>>>99997 Function unknown	ND	ND	R	R	General function prediction only	K09775	uncharacterized protein	ND	ND
GC_00000297	EVERYTHING	ASM1913465v1	904	82	82	1	1	0.999380291	0.997913581	0.998646397	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000298	EVERYTHING	ASM1913465v1	294	82	82	1	1	0.999099909	1	0.999549752	COG1589	Cell division septal protein FtsQ (FtsQ) (PDB:1YR1)	PF08478.15	"POTRA domain, FtsQ-type"	ND	ND	ko00001|ko03036	KEGG Orthology (KO)>>>09140 Cellular Processes>>>09143 Cell growth and death>>>04112 Cell cycle - Caulobacter [PATH:ko04112]|Chromosome and associated proteins>>>Prokaryotic type>>>Chromosome partitioning proteins>>>Divisome proteins	ND	ND	D	D	"Cell cycle control, cell division, chromosome partitioning"	K03589	cell division protein FtsQ	ND	ND
GC_00000299	EVERYTHING	ASM1913465v1	293	82	82	1	1	0.999840329	1	0.999920158	COG0849	Cell division ATPase FtsA (FtsA) (PDB:3WT0)	PF14450.11	Cell division protein FtsA	ND	ND	ko00001|ko03036|ko04812	KEGG Orthology (KO)>>>09140 Cellular Processes>>>09143 Cell growth and death>>>04112 Cell cycle - Caulobacter [PATH:ko04112]|Chromosome and associated proteins>>>Prokaryotic type>>>Chromosome partitioning proteins>>>Divisome proteins|Cytoskeleton proteins>>>Prokaryotic cytoskeleton proteins>>>Microtubules homologs	ND	ND	D	D	"Cell cycle control, cell division, chromosome partitioning"	K03590	cell division protein FtsA	ND	ND
GC_00000300	EVERYTHING	ASM1913465v1	51	82	82	1	1	0.999427047	1	0.999713441	COG1314	Protein translocase subunit SecG (SecG) (PDB:2AKH)	PF03840.19	Preprotein translocase SecG subunit	ND	ND	ko00001|ko00001|ko00001|ko02044	"KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09123 Folding, sorting and degradation>>>03060 Protein export [PATH:ko03060]|KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09131 Membrane transport>>>03070 Bacterial secretion system [PATH:ko03070]|KEGG Orthology (KO)>>>09140 Cellular Processes>>>09145 Cellular community - prokaryotes>>>02024 Quorum sensing [PATH:ko02024]|Secretion system>>>Sec (secretion) system>>>Prokaryotic Sec-SRP core components"	ND	ND	U	U	"Intracellular trafficking, secretion, and vesicular transport"	K03075	preprotein translocase subunit SecG	ND	ND
GC_00000301	EVERYTHING	ASM1913465v1	10	82	82	1	1	0.999472241	1	0.999736051	COG1655	"Uncharacterized conserved protein, DUF2225 family"	PF09986.14	Uncharacterized protein conserved in bacteria (DUF2225)	ND	ND	ko00001	KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09194 Poorly characterized>>>99997 Function unknown	ND	ND	S	S	Function unknown	K09766	uncharacterized protein	ND	ND
GC_00000302	EVERYTHING	ASM1913465v1	270	82	82	1	1	0.998249275	1	0.99912387	COG1886	Flagellar motor switch/type III secretory pathway protein FliN (FliN) (PDB:1O9Y)	PF01052.25	Type III flagellar switch regulator (C-ring) FliN C-term	ND	ND	ko00001|ko00001|ko02044|ko02035	KEGG Orthology (KO)>>>09140 Cellular Processes>>>09142 Cell motility>>>02030 Bacterial chemotaxis [PATH:ko02030]|KEGG Orthology (KO)>>>09140 Cellular Processes>>>09142 Cell motility>>>02040 Flagellar assembly [PATH:ko02040]|Secretion system>>>Type III secretion system>>>Flagellar export apparatus|Bacterial motility proteins>>>Flagellar system>>>Flagellar assembly proteins>>>C ring	ND	ND	N|U	N	"Cell motility|Intracellular trafficking, secretion, and vesicular transport"	K02417	flagellar motor switch protein FliN	ND	ND
GC_00000303	EVERYTHING	ASM1913465v1	535	82	82	1	1	0.999656358	1	0.99982815	COG0326	"Molecular chaperone, HSP90 family (HtpG) (PDB:1Y4S) (PUBMED:30150682)"	PF00183.23	Hsp90 protein	ND	ND	ko00001|ko00001|ko00001|ko01009|ko03110|ko04131|ko03051|ko03029|ko04147	"KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09123 Folding, sorting and degradation>>>04141 Protein processing in endoplasmic reticulum [PATH:ko04141]|KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09132 Signal transduction>>>04151 PI3K-Akt signaling pathway [PATH:ko04151]|KEGG Orthology (KO)>>>09140 Cellular Processes>>>09143 Cell growth and death>>>04217 Necroptosis [PATH:ko04217]|Protein phosphatases and associated proteins>>>Protein serine/threonine phosphatases>>>Phosphoprotein phosphatases (PPPs)>>>Protein phosphatase-5>>>PP5-interacting proteins|Chaperones and folding catalysts>>>Heat shock proteins>>>HSP90|Membrane trafficking>>>Autophagy>>>Chaperone mediated autophagy (CMA)>>>Chaperones|Proteasome>>>Eukaryotic proteasome>>>Assembling factors>>>Other assembling factors|Mitochondrial biogenesis>>>Mitochondrial quality control factors>>>Mitophagy factors>>>Parkin-independent mechanism factors|Exosome>>>Exosomal proteins>>>Proteins found in most exosomes"	ND	ND	O	O	"Posttranslational modification, protein turnover, chaperones"	K04079	molecular chaperone HtpG	ND	ND
GC_00000304	EVERYTHING	ASM1913465v1	612	82	82	1	1	0.999800995	1	0.999900488	COG1757	Na+/H+ antiporter NhaC/MleN (NhaC)	PF03553.19	Na+/H+ antiporter family	ND	ND	ko00001	KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09194 Poorly characterized>>>99997 Function unknown	ND	ND	C	C	Energy production and conversion	K03315	"Na+:H+ antiporter, NhaC family"	ND	ND
GC_00000305	EVERYTHING	ASM1913465v1	458	82	82	1	1	0.999679884	1	0.999839916	COG0087	Ribosomal protein L3 (RplC) (PDB:1VS6)	PF00297.27	Ribosomal protein L3	ND	ND	ko00001|ko03011|ko03011|ko03011	KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09122 Translation>>>03010 Ribosome [PATH:ko03010]|Ribosome>>>Ribosomal proteins>>>Mitochondria/ Chloroplast>>>Large subunit|Ribosome>>>Ribosomal proteins>>>Bacteria>>>Large subunit|Ribosome>>>Ribosomal proteins>>>Archaea>>>Large subunit	COG0087	Ribosome 50S subunit	J	J	"Translation, ribosomal structure and biogenesis"	K02906	large subunit ribosomal protein L3	ND	ND
GC_00000306	EVERYTHING	ASM1913465v1	698	82	82	1	1	0.999838328	1	0.999919157	COG0205	6-phosphofructokinase (PfkA) (PDB:1KZH)	PF00365.25	Phosphofructokinase	ND	ND	ND	ND	COG0205	Glycolysis	G	G	Carbohydrate transport and metabolism	ND	ND	ND	ND
GC_00000307	EVERYTHING	ASM1913465v1	766	82	82	1	1	0.999386681	1	0.999693246	COG2825	"Periplasmic chaperone for outer membrane proteins, Skp family (HlpA) (PDB:1SG2)"	PF03938.19	Outer membrane protein (OmpH-like)	ND	ND	ko00001	KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09193 Unclassified: signaling and cellular processes>>>99992 Structural proteins	ND	ND	M|O	M	"Cell wall/membrane/envelope biogenesis|Posttranslational modification, protein turnover, chaperones"	K06142	outer membrane protein	ND	ND
GC_00000308	EVERYTHING	ASM1913465v1	589	82	82	1	1	0.999235633	1	0.999617671	COG0522	Ribosomal protein S4 or related protein (RpsD) (PDB:4V4H)	PF00163.24	Ribosomal protein S4/S9 N-terminal domain	ND	ND	ko00001|ko03011|ko03011	KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09122 Translation>>>03010 Ribosome [PATH:ko03010]|Ribosome>>>Ribosomal proteins>>>Bacteria>>>Small subunit|Ribosome>>>Ribosomal proteins>>>Archaea>>>Small subunit	COG0522	Ribosome 30S subunit	J	J	"Translation, ribosomal structure and biogenesis"	K02986	small subunit ribosomal protein S4	ND	ND
GC_00000309	EVERYTHING	ASM1913465v1	240	82	82	1	1	0.99902475	1	0.999512137	COG0127	"Inosine/xanthosine triphosphate pyrophosphatase, all-alpha NTP-PPase family (RdgB) (PDB:1B78)"	PF01725.21	Ham1 family	ND	ND	ko00001|ko00001|ko01000	KEGG Orthology (KO)>>>09100 Metabolism>>>09104 Nucleotide metabolism>>>00230 Purine metabolism [PATH:ko00230]|KEGG Orthology (KO)>>>09100 Metabolism>>>09111 Xenobiotics biodegradation and metabolism>>>00983 Drug metabolism - other enzymes [PATH:ko00983]|Enzymes>>>3. Hydrolases>>>3.6  Acting on acid anhydrides>>>3.6.1  In phosphorus-containing anhydrides>>>3.6.1.66  XTP/dITP diphosphatase	ND	ND	F	F	Nucleotide transport and metabolism	K01519	XTP/dITP diphosphohydrolase [EC:3.6.1.66]	ND	ND
GC_00000310	EVERYTHING	ASM1913465v1	684	82	82	1	1	0.999118166	1	0.999558888	COG1579	"Predicted nucleic acid-binding protein DR0291, contains C4-type Zn-ribbon domain (DR0291) (PDB:4ILO)"	PF02591.20	C4-type zinc ribbon domain	ND	ND	ko00001	KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09194 Poorly characterized>>>99997 Function unknown	ND	ND	R	R	General function prediction only	K07164	uncharacterized protein	ND	ND
GC_00000311	EVERYTHING	ASM1913465v1	466	82	82	1	1	0.996715119	1	0.998354857	COG0255	Ribosomal protein L29 (RpmC) (PDB:1VS6)	PF00831.28	Ribosomal L29 protein	ND	ND	ko00001|ko03011|ko03011	KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09122 Translation>>>03010 Ribosome [PATH:ko03010]|Ribosome>>>Ribosomal proteins>>>Bacteria>>>Large subunit|Ribosome>>>Ribosomal proteins>>>Archaea>>>Large subunit	COG0255	Ribosome 50S subunit	J	J	"Translation, ribosomal structure and biogenesis"	K02904	large subunit ribosomal protein L29	ND	ND
GC_00000312	EVERYTHING	ASM1913465v1	577	82	82	1	1	0.999158888	1	0.999579267	COG0484	DnaJ-class molecular chaperone with C-terminal Zn finger domain (DnaJ) (PDB:1BQ0)	PF00226.36	DnaJ domain	ND	ND	ko03110	Chaperones and folding catalysts>>>Heat shock proteins>>>HSP40 / DNAJ	ND	ND	O	O	"Posttranslational modification, protein turnover, chaperones"	K05801	DnaJ like chaperone protein	ND	ND
GC_00000313	EVERYTHING	ASM1913465v1	149	82	82	1	1	0.998551784	1	0.999275368	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000314	EVERYTHING	ASM1913465v1	112	82	82	1	1	0.999484618	1	0.999742243	COG1263|COG1264	"Phosphotransferase system IIC components, glucose/maltose/N-acetylglucosamine-specific (PtsG1)|Phosphotransferase system IIB components (PtsG2) (PDB:1IBA)"	PF02378.23	"Phosphotransferase system, EIIC "	ND	ND	ND	ND	ND	ND	G|G	G	Carbohydrate transport and metabolism|Carbohydrate transport and metabolism	ND	ND	ND	ND
GC_00000315	EVERYTHING	ASM1913465v1	142	82	82	1	1	0.999645193	1	0.999822565	COG4175	"ABC-type proline/glycine betaine transport system, ATPase component (ProV)"	PF00005.32	ABC transporter	ND	ND	ko00001|ko01000|ko02000	"KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09131 Membrane transport>>>02010 ABC transporters [PATH:ko02010]|Enzymes>>>7. Translocases>>>7.6  Catalysing the translocation of other compounds>>>7.6.2  Linked to the hydrolysis of a nucleoside triphosphate>>>7.6.2.9  ABC-type quaternary amine transporter|Transporters>>>ABC transporters, prokaryotic type>>>Mineral and organic ion transporters>>>Glycine betaine/proline transporter"	ND	ND	E	E	Amino acid transport and metabolism	K02000	glycine betaine/proline transport system ATP-binding protein [EC:7.6.2.9]	ND	ND
GC_00000316	EVERYTHING	ASM1913465v1	565	82	82	1	1	0.998954137	1	0.999476795	COG0030	16S rRNA A1518 and A1519 N6-dimethyltransferase RsmA/KsgA/DIM1 (may also have DNA glycosylase/AP lyase activity) (RsmA) (PDB:1QYR)	PF00398.25	Ribosomal RNA adenine dimethylase	ND	ND	ko01000|ko03009	Enzymes>>>2. Transferases>>>2.1  Transferring one-carbon groups>>>2.1.1  Methyltransferases>>>2.1.1.182  16S rRNA (adenine1518-N6/adenine1519-N6)-dimethyltransferase|Ribosome biogenesis>>>Prokaryotic type>>>rRNA modification factors>>>16S rRNA modification factors	COG0030	16S rRNA modification	J	J	"Translation, ribosomal structure and biogenesis"	K02528	16S rRNA (adenine1518-N6/adenine1519-N6)-dimethyltransferase [EC:2.1.1.182]	ND	ND
GC_00000317	EVERYTHING	ASM1913465v1	717	82	82	1	1	0.999566227	1	0.999783067	COG4239	"ABC-type microcin C transport system, permease component YejE (YejE)"	PF00528.27	Binding-protein-dependent transport system inner membrane component	ND	ND	ND	ND	ND	ND	Q	Q	"Secondary metabolites biosynthesis, transport and catabolism"	ND	ND	ND	ND
GC_00000318	EVERYTHING	ASM1913465v1	664	82	82	1	1	0.999193082	1	0.999596378	COG0783	DNA-binding ferritin-like protein (oxidative damage protectant) (Dps) (PDB:1DPS)	PF00210.29	Ferritin-like domain	ND	ND	ko03036	Chromosome and associated proteins>>>Prokaryotic type>>>Nucleoid associated proteins>>>Other nucleoid associated proteins	ND	ND	P|V	P	Inorganic ion transport and metabolism|Defense mechanisms	K04047	starvation-inducible DNA-binding protein	ND	ND
GC_00000319	EVERYTHING	ASM1913465v1	189	82	82	1	1	0.999080913	1	0.999540245	COG0216	Protein chain release factor RF1 (PrfA) (PDB:1RQ0)	PF03462.23	PCRF domain	ND	ND	ko03012|ko03012	Translation factors>>>Eukaryotic type>>>Release factors|Translation factors>>>Prokaryotic type>>>Release factors	COG0216	Translation factors	J	J	"Translation, ribosomal structure and biogenesis"	K02835	peptide chain release factor 1	ND	ND
GC_00000320	EVERYTHING	ASM1913465v1	751	82	82	1	1	0.999665225	1	0.999832584	COG0536	GTPase involved in cell partioning and DNA repair (Obg) (PDB:1LNZ)	PF01018.27	GTP1/OBG	ND	ND	ko01000|ko03009|ko03009	Enzymes>>>3. Hydrolases>>>3.6  Acting on acid anhydrides>>>3.6.5  Acting on GTP to facilitate cellular and subcellular movement>>>3.6.5.-|Ribosome biogenesis>>>Eukaryotic type>>>Other ribosome biogenesis factors|Ribosome biogenesis>>>Prokaryotic type>>>GTPases	ND	ND	D|L	D	"Cell cycle control, cell division, chromosome partitioning|Replication, recombination and repair"	K03979	GTPase [EC:3.6.5.-]	ND	ND
GC_00000321	EVERYTHING	ASM1913465v1	414	82	82	1	1	0.998745759	1	0.999372486	COG1192	ParA-like ATPase involved in chromosome/plasmid partitioning or cellulose biosynthesis protein BcsQ (ParA) (PDB:6NOO)	PF13614.11	AAA domain	ND	ND	ko03036|ko04812	Chromosome and associated proteins>>>Prokaryotic type>>>Chromosome partitioning proteins>>>Other chromosome partitioning proteins|Cytoskeleton proteins>>>Prokaryotic cytoskeleton proteins>>>MinD / ParA class of bacterial cytoskeletal proteins	ND	ND	D|N	D	"Cell cycle control, cell division, chromosome partitioning|Cell motility"	K03496	chromosome partitioning protein	ND	ND
GC_00000322	EVERYTHING	ASM1913465v1	512	82	82	1	1	0.998867304	1	0.999433331	COG4783	"Outer membrane protein chaperone/metalloprotease BepA/YfgC, contains M48 and TPR domains (BepA) (PDB:6AIT) (PUBMED:24003122)"	PF07719.22	Tetratricopeptide repeat	ND	ND	ND	ND	ND	ND	M|O	M	"Cell wall/membrane/envelope biogenesis|Posttranslational modification, protein turnover, chaperones"	ND	ND	ND	ND
GC_00000323	EVERYTHING	ASM1913465v1	363	82	82	1	1	0.999147479	1	0.999573558	COG0775	"Nucleoside phosphorylase/nucleosidase, includes 5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase MtnN and futalosine hydrolase MqnB (MtnN) (PDB:1T8R) (PUBMED:18801996)"	PF01048.25	Phosphorylase superfamily	M00609|M00034	"Cysteine biosynthesis, methionine => cysteine|Methionine salvage pathway"	ko00001|ko01000	KEGG Orthology (KO)>>>09100 Metabolism>>>09105 Amino acid metabolism>>>00270 Cysteine and methionine metabolism [PATH:ko00270]|Enzymes>>>3. Hydrolases>>>3.2  Glycosylases>>>3.2.2  Hydrolysing N-glycosyl compounds>>>3.2.2.9  adenosylhomocysteine nucleosidase	COG0775	Menaquinone biosynthesis	F|H	F	Nucleotide transport and metabolism|Coenzyme transport and metabolism	K01243	adenosylhomocysteine nucleosidase [EC:3.2.2.9]	M00609|M00034	Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism|Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism
GC_00000324	EVERYTHING	ASM1913465v1	88	82	82	1	1	0.99878809	1	0.999393678	COG1394	Archaeal/vacuolar-type H+-ATPase subunit D/Vma8 (NtpD) (PDB:3AON)	PF01813.22	ATP synthase subunit D 	M00159	"V/A-type ATPase, prokaryotes"	ko00001	KEGG Orthology (KO)>>>09100 Metabolism>>>09102 Energy metabolism>>>00190 Oxidative phosphorylation [PATH:ko00190]	COG1394	A/V-type ATP synthase	C	C	Energy production and conversion	K02120	V/A-type H+/Na+-transporting ATPase subunit D	M00159	Pathway modules; Energy metabolism; ATP synthesis
GC_00000325	EVERYTHING	ASM1913465v1	46	82	82	1	1	0.998023013	1	0.999010528	ND	ND	PF11680.13	Protein of unknown function (DUF3276)	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000326	EVERYTHING	ASM1913465v1	82	82	82	1	1	0.99969044	0.998046875	0.998867981	COG0606	"Predicted Mg-chelatase, contains ChlI-like and ATPase domains, YifB family (YifB)"	PF01078.26	"Magnesium chelatase, subunit ChlI"	ND	ND	ko00001	KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09192 Unclassified: genetic information processing>>>99975 Protein processing	ND	ND	O	O	"Posttranslational modification, protein turnover, chaperones"	K07391	magnesium chelatase family protein	ND	ND
GC_00000327	EVERYTHING	ASM1913465v1	179	82	82	1	1	0.999622104	1	0.999811016	COG1214	tRNA A37 threonylcarbamoyladenosine modification protein TsaB (TsaB) (PDB:1OKJ)	PF00814.30	tRNA N6-adenosine threonylcarbamoyltransferase	ND	ND	ko03016	Transfer RNA biogenesis>>>Prokaryotic type>>>tRNA modification factors>>>Other tRNA modification factors	COG1214	tRNA modification	J	J	"Translation, ribosomal structure and biogenesis"	K14742	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB	ND	ND
GC_00000328	EVERYTHING	ASM1913465v1	540	82	82	1	1	0.998504467	1	0.999251674	COG0835	Chemotaxis signal transduction protein CheW (CheW) (PDB:2QDL)	PF01584.24	CheW-like domain	ND	ND	ko00001|ko00001|ko02035	KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09132 Signal transduction>>>02020 Two-component system [PATH:ko02020]|KEGG Orthology (KO)>>>09140 Cellular Processes>>>09142 Cell motility>>>02030 Bacterial chemotaxis [PATH:ko02030]|Bacterial motility proteins>>>Flagellar system>>>Chemotaxis proteins>>>Two component system proteins	ND	ND	T	T	Signal transduction mechanisms	K03408	purine-binding chemotaxis protein CheW	ND	ND
GC_00000329	EVERYTHING	ASM1913465v1	653	82	82	1	1	0.996945508	0.995780211	0.996362519	COG1079	"ABC-type guanosine uptake system NupNOPQ, permease subunit NupQ (NupQ) (PUBMED:21926227)"	PF02653.21	Branched-chain amino acid transport system / permease component	ND	ND	ko00001|ko02000	"KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09131 Membrane transport>>>02010 ABC transporters [PATH:ko02010]|Transporters>>>ABC transporters, prokaryotic type>>>Saccharide, polyol, and lipid transporters>>>General nucleoside transporter"	ND	ND	F	F	Nucleotide transport and metabolism	K23536	general nucleoside transport system permease protein	ND	ND
GC_00000330	EVERYTHING	ASM1913465v1	673	82	82	1	1	0.998975544	0.994449463	0.996707365	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000331	EVERYTHING	ASM1913465v1	598	82	82	1	1	0.999158762	1	0.999579204	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000332	EVERYTHING	ASM1913465v1	182	82	82	1	1	0.997758664	1	0.998878074	COG0292	Ribosomal protein L20 (RplT) (PDB:1VS6) (PUBMED:30270044)	PF00453.23	Ribosomal protein L20	ND	ND	ko00001|ko03011|ko03011	KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09122 Translation>>>03010 Ribosome [PATH:ko03010]|Ribosome>>>Ribosomal proteins>>>Mitochondria/ Chloroplast>>>Large subunit|Ribosome>>>Ribosomal proteins>>>Bacteria>>>Large subunit	COG0292	Ribosome 50S subunit	J	J	"Translation, ribosomal structure and biogenesis"	K02887	large subunit ribosomal protein L20	ND	ND
GC_00000333	EVERYTHING	ASM1913465v1	450	82	82	1	1	0.99772157	1	0.998859486	COG0597	Lipoprotein signal peptidase (LspA) (PDB:5DIR)	PF01252.23	Signal peptidase (SPase) II	ND	ND	ko00001|ko01000|ko01002	"KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09123 Folding, sorting and degradation>>>03060 Protein export [PATH:ko03060]|Enzymes>>>3. Hydrolases>>>3.4  Acting on peptide bonds (peptidases)>>>3.4.23  Aspartic endopeptidases>>>3.4.23.36  signal peptidase II|Peptidases and inhibitors>>>Aspartic peptidases>>>Family A8: signal peptidase II family"	ND	ND	M|U	M	"Cell wall/membrane/envelope biogenesis|Intracellular trafficking, secretion, and vesicular transport"	K03101	signal peptidase II [EC:3.4.23.36]	ND	ND
GC_00000334	EVERYTHING	ASM1913465v1	307	82	82	1	1	0.998890632	1	0.999445008	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000335	EVERYTHING	ASM1913465v1	576	82	82	1	1	0.999418472	1	0.999709151	COG0112	Glycine/serine hydroxymethyltransferase (GlyA) (PDB:1BJ4)	PF00464.24	Serine hydroxymethyltransferase	M00532|M00346|M00140|M00141	"Photorespiration|Formaldehyde assimilation, serine pathway|C1-unit interconversion, prokaryotes|C1-unit interconversion, eukaryotes"	ko00001|ko00001|ko00001|ko00001|ko00001|ko01000	"KEGG Orthology (KO)>>>09100 Metabolism>>>09101 Carbohydrate metabolism>>>00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]|KEGG Orthology (KO)>>>09100 Metabolism>>>09102 Energy metabolism>>>00680 Methane metabolism [PATH:ko00680]|KEGG Orthology (KO)>>>09100 Metabolism>>>09105 Amino acid metabolism>>>00260 Glycine, serine and threonine metabolism [PATH:ko00260]|KEGG Orthology (KO)>>>09100 Metabolism>>>09106 Metabolism of other amino acids>>>00460 Cyanoamino acid metabolism [PATH:ko00460]|KEGG Orthology (KO)>>>09100 Metabolism>>>09108 Metabolism of cofactors and vitamins>>>00670 One carbon pool by folate [PATH:ko00670]|Enzymes>>>2. Transferases>>>2.1  Transferring one-carbon groups>>>2.1.2  Hydroxymethyl-, formyl- and related transferases>>>2.1.2.1  glycine hydroxymethyltransferase"	COG0112	Serine biosynthesis	E	E	Amino acid transport and metabolism	K00600	glycine hydroxymethyltransferase [EC:2.1.2.1]	M00532|M00346|M00140|M00141	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism|Pathway modules; Energy metabolism; Methane metabolism|Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism|Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
GC_00000336	EVERYTHING	ASM1913465v1	700	82	82	1	1	0.999297834	1	0.999648794	COG1823	"L-cystine transporter TcyP, sodium:dicarboxylate symporter family (TcyP)"	PF00375.23	Sodium:dicarboxylate symporter family	ND	ND	ko00001	KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09194 Poorly characterized>>>99997 Function unknown	ND	ND	E	E	Amino acid transport and metabolism	K06956	uncharacterized protein	ND	ND
GC_00000337	EVERYTHING	ASM1913465v1	197	82	82	1	1	0.999221267	1	0.999610482	COG0330	"Regulator of protease activity HflC, stomatin/prohibitin superfamily (HflC)"	PF01145.30	SPFH domain / Band 7 family	ND	ND	ko01002	Peptidases and inhibitors>>>Peptidase inhibitors>>>Family I87	ND	ND	O	O	"Posttranslational modification, protein turnover, chaperones"	K04087	modulator of FtsH protease HflC	ND	ND
GC_00000338	EVERYTHING	ASM1913465v1	514	82	82	1	1	0.999454447	1	0.999727149	COG0670	"Integral membrane protein YbhL, putative Ca2+ regulator, Bax inhibitor (BI-1)/TMBIM family (YbhL) (PDB:4PGR) (PUBMED:28064000)"	PF01027.25	Inhibitor of apoptosis-promoting Bax1	ND	ND	ko00001	KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09194 Poorly characterized>>>99997 Function unknown	ND	ND	P	P	Inorganic ion transport and metabolism	K06890	uncharacterized protein	ND	ND
GC_00000339	EVERYTHING	ASM1913465v1	22	82	82	1	1	0.999062815	1	0.999531188	COG2255	"Holliday junction resolvasome RuvABC, ATP-dependent DNA helicase subunit RuvB (RuvB) (PDB:1HQC)"	PF05496.17	Holliday junction DNA helicase RuvB P-loop domain	ND	ND	ko00001|ko01000|ko03400|ko03400	KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09124 Replication and repair>>>03440 Homologous recombination [PATH:ko03440]|Enzymes>>>5. Isomerases>>>5.6  Isomerases altering macromolecular conformation>>>5.6.2  Enzymes altering nucleic acid conformation>>>5.6.2.4  DNA 3'-5' helicase|DNA repair and recombination proteins>>>Prokaryotic type>>>DSBR (double strand breaks repair)>>>HR (homologous recombination)>>>RecBC pathway proteins|DNA repair and recombination proteins>>>Prokaryotic type>>>DSBR (double strand breaks repair)>>>HR (homologous recombination)>>>RecFOR pathway proteins	ND	ND	L	L	"Replication, recombination and repair"	K03551	holliday junction DNA helicase RuvB [EC:5.6.2.4]	ND	ND
